lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
14,0,148.5,8,17,4,4,0,0,3,0
26,1,96.9,11,13,4,2,2,0,3,0
50,1,52.0,1,14,3,3,0,0,0,1
120,2,88.38,8,20,3,5,2,1,0,1
222,1,96.3,8,31,4,3,0,0,0,0
4,0,72.25,6,12,3,0,2,3,0,1
39,0,73.6,1,9,3,1,2,1,0,1
1,0,0.0,11,10,1,1,0,0,0,1
35,1,89.3,2,11,4,3,0,0,3,1
4,1,80.0,8,8,4,1,2,3,0,1
104,0,132.3,10,11,4,5,2,0,3,0
32,1,65.0,7,4,2,1,1,0,0,1
56,0,162.9,7,3,4,1,2,1,0,0
40,0,109.8,8,28,4,0,1,0,0,1
164,0,116.1,9,4,4,2,2,3,0,0
30,1,150.3,1,15,4,2,0,0,5,1
100,1,90.3,3,26,4,1,2,0,0,1
9,0,86.0,12,16,4,1,0,0,0,1
5,0,97.0,3,6,3,0,1,0,0,1
24,1,74.8,12,15,4,8,2,3,0,1
1,0,104.0,10,30,4,2,0,3,0,1
240,2,90.95,10,27,4,3,1,0,0,1
61,1,91.0,10,4,3,0,2,0,0,1
87,1,187.85,5,16,4,10,4,0,5,0
8,2,108.67,11,24,4,3,0,0,0,1
32,0,85.0,3,13,3,2,2,0,0,1
1,0,89.0,3,22,4,1,0,3,0,1
39,1,77.5,3,4,4,2,0,0,0,1
1,1,114.0,12,30,4,1,0,3,0,1
2,0,0.0,10,9,4,2,2,0,0,1
0,2,68.85,7,23,4,1,0,0,3,1
1,2,135.0,12,31,4,1,0,0,0,1
28,1,103.87,9,22,4,4,0,0,0,1
75,0,80.0,3,17,4,3,1,0,0,0
5,2,124.0,8,15,4,1,0,0,0,1
31,0,65.0,12,17,2,2,0,0,0,1
35,0,94.5,4,22,4,2,1,3,0,1
3,0,99.0,8,17,2,3,1,0,0,0
1,1,131.0,7,29,4,2,0,0,0,1
43,0,140.4,5,14,4,1,0,0,3,0
47,0,106.2,4,1,4,2,1,0,3,1
25,0,119.0,9,26,4,0,1,3,0,0
377,0,90.0,10,14,3,2,0,1,0,1
20,0,85.0,10,4,3,2,0,0,0,1
110,1,70.0,12,9,3,4,0,0,0,1
42,0,80.3,2,20,4,1,0,0,0,1
0,1,76.5,3,17,3,1,0,1,0,1
2,0,110.0,10,12,0,2,0,0,3,1
95,1,89.25,4,27,4,4,1,3,0,1
39,1,168.3,9,9,4,2,2,0,3,1
1,1,149.0,9,1,4,1,0,3,0,1
13,0,86.0,2,3,2,4,0,0,4,1
50,2,150.3,6,3,4,2,1,0,3,1
135,2,92.28,7,15,4,2,2,3,0,1
1,0,90.0,9,14,3,2,1,0,0,1
220,0,106.0,10,3,2,2,1,0,4,0
80,1,94.6,11,4,4,2,1,0,0,1
103,1,123.3,10,28,4,2,2,0,3,1
42,2,78.3,11,23,4,3,0,0,0,1
81,0,59.84,12,2,4,2,0,3,0,1
67,0,32.71,11,1,3,1,2,0,0,1
280,1,107.0,8,12,4,2,1,0,0,0
94,1,75.89,4,7,4,5,2,3,0,0
47,1,125.1,9,9,4,2,0,3,0,1
176,0,125.1,9,8,4,3,0,0,0,0
3,0,123.0,6,20,4,0,1,3,0,1
187,1,99.45,7,11,4,5,2,0,3,0
5,0,80.0,10,19,3,2,1,0,0,1
25,0,133.0,10,19,4,3,0,0,0,0
273,0,106.2,9,30,4,2,1,0,0,0
13,0,87.0,2,21,3,0,2,0,0,1
28,2,224.1,9,30,4,2,0,0,5,1
27,1,85.0,10,20,3,3,0,0,0,1
5,0,89.0,3,23,4,1,0,3,0,0
12,1,93.5,11,1,4,4,0,3,0,1
5,0,66.0,2,28,2,0,2,0,0,1
117,1,105.74,6,17,4,3,2,3,0,1
33,1,97.4,3,4,4,2,2,0,3,1
193,1,102.85,12,28,4,4,0,0,3,0
16,0,87.0,2,26,3,2,0,0,0,1
14,0,62.5,5,27,3,1,0,0,0,1
90,3,95.0,9,5,3,5,1,0,0,1
14,0,100.0,10,15,3,2,0,0,0,1
14,0,147.5,4,29,4,2,2,0,0,0
117,0,105.3,5,6,4,2,1,0,0,0
21,3,119.0,9,25,4,0,1,3,0,1
94,0,102.68,9,3,3,2,2,0,0,1
220,1,213.0,9,17,3,1,2,1,0,0
10,1,79.39,12,5,4,1,2,0,0,1
203,0,72.25,8,26,3,2,1,0,0,1
4,0,81.0,2,19,2,2,1,0,0,1
192,0,19.15,9,25,3,3,2,0,0,0
87,1,112.25,10,23,3,1,2,1,0,1
15,0,106.33,4,15,4,2,1,3,0,0
61,1,99.66,4,24,4,2,2,0,0,1
39,1,88.0,1,10,3,1,2,0,5,1
0,0,81.0,8,6,4,1,0,3,0,1
79,1,70.0,12,19,3,1,2,0,0,1
103,0,116.1,6,15,4,1,0,3,0,0
39,0,65.0,12,27,3,1,0,0,0,1
12,0,75.0,1,15,4,2,2,3,0,1
0,1,65.0,3,9,2,1,0,0,0,1
79,0,80.75,6,16,3,2,0,0,0,1
58,0,79.2,12,12,4,0,1,3,0,0
9,2,176.42,8,25,4,3,2,1,3,1
39,0,114.8,1,9,3,1,2,1,4,1
73,0,90.9,4,7,4,2,0,0,0,0
124,0,36.25,8,8,3,1,2,1,0,1
132,0,102.28,7,21,4,4,2,0,0,0
23,0,1.0,1,2,4,1,2,1,0,1
20,2,93.0,2,7,4,1,2,0,0,1
104,1,88.4,12,8,4,3,1,0,0,1
40,0,126.9,5,7,4,1,0,0,0,1
148,0,138.14,8,16,4,5,2,0,3,0
13,0,95.0,4,11,4,0,1,0,0,0
85,2,140.27,7,10,4,5,2,0,3,1
134,1,109.65,6,5,4,2,2,3,0,1
2,0,127.0,6,30,4,1,0,3,0,1
5,0,146.0,2,23,4,9,2,1,3,0
5,2,114.0,9,8,4,4,0,0,0,1
114,0,191.0,7,17,4,5,4,1,3,0
85,2,97.02,4,7,4,5,2,0,3,1
26,2,153.5,5,29,4,0,2,0,3,1
1,0,67.0,5,18,2,1,0,0,0,1
1,0,79.0,1,23,4,1,2,3,0,1
108,1,190.8,10,14,4,2,1,0,5,1
150,1,95.82,5,31,4,3,0,0,1,1
36,1,68.07,12,10,4,6,2,0,0,1
58,0,60.0,2,3,3,4,1,0,0,1
13,0,85.0,3,20,3,0,1,0,0,1
124,1,114.3,5,6,4,2,0,0,3,1
5,0,109.0,3,11,4,2,1,0,0,0
212,2,92.65,10,1,4,5,2,3,0,1
18,0,77.2,1,29,4,7,3,3,0,1
7,0,86.0,2,5,2,2,0,0,4,1
1,1,88.0,7,21,2,1,0,0,0,1
96,1,87.3,4,18,4,2,1,0,0,1
3,0,166.25,9,26,2,1,1,0,4,1
214,0,90.9,8,16,4,3,0,0,0,0
31,0,95.0,10,9,2,2,2,0,0,1
37,1,126.6,3,24,4,3,0,0,0,1
173,1,98.1,10,1,4,1,2,3,0,1
98,0,91.5,6,26,4,1,2,3,0,0
172,0,104.4,10,28,4,2,2,0,3,0
244,1,176.04,12,29,3,3,1,0,0,1
51,0,75.0,11,9,3,3,0,0,0,1
5,0,66.0,2,1,3,3,1,0,0,1
229,0,89.25,10,22,4,2,2,0,0,0
47,1,115.2,12,6,4,0,2,0,0,1
132,1,124.8,7,29,4,2,1,0,3,1
83,1,76.5,7,6,4,5,2,0,0,0
56,1,93.6,11,23,4,3,0,0,0,0
8,1,65.0,10,6,2,1,0,0,0,1
17,2,166.0,5,31,4,2,0,0,3,1
32,1,109.0,10,25,4,4,0,3,0,1
39,1,81.9,3,10,4,3,2,0,0,0
147,0,99.0,7,11,4,1,1,3,0,1
12,0,164.0,9,25,4,0,2,0,3,0
32,1,121.5,2,26,4,2,0,0,3,0
270,0,70.0,4,20,3,4,0,0,0,1
304,0,74.15,10,21,4,2,1,0,0,0
9,0,67.0,11,23,2,2,0,0,0,1
6,0,62.8,2,2,3,3,0,0,0,1
84,1,189.9,8,14,4,0,2,0,5,1
296,0,96.0,9,21,3,4,0,1,0,1
252,0,106.3,10,15,4,1,2,0,0,0
60,2,149.4,9,10,4,6,2,0,3,1
249,1,86.62,8,27,4,1,1,0,1,0
154,1,120.7,7,7,4,3,1,0,3,0
45,0,81.0,9,12,3,1,1,0,0,1
0,2,175.0,9,21,4,1,0,3,0,1
195,2,108.9,10,2,4,1,2,0,0,0
38,2,143.1,3,25,4,2,0,0,0,1
8,1,124.67,8,17,4,3,0,3,0,1
60,0,0.0,9,21,4,1,1,0,0,1
97,0,173.7,11,16,4,2,0,1,3,0
301,1,115.0,7,30,4,1,1,1,0,0
38,0,96.3,10,20,4,5,0,0,0,1
191,1,99.45,7,27,4,4,1,0,3,0
179,2,96.3,7,2,4,1,2,0,0,1
1,2,179.0,5,27,4,2,0,0,0,1
70,0,95.2,4,23,4,2,2,0,0,0
41,1,88.0,12,20,2,1,0,0,0,1
0,0,140.0,10,30,4,0,1,3,0,1
7,1,80.3,1,13,4,1,0,0,0,1
80,0,105.3,7,20,4,1,0,0,0,0
116,1,105.3,7,28,4,1,0,0,0,1
18,0,81.0,2,26,4,2,0,3,0,1
17,1,75.4,11,12,4,3,2,0,0,1
3,0,119.0,4,28,4,1,0,3,0,1
43,0,68.47,3,8,4,5,1,0,0,0
82,1,149.4,9,15,4,3,0,0,3,0
22,2,206.0,6,13,4,3,1,0,5,1
76,0,145.8,11,6,4,2,2,0,3,0
40,0,100.02,6,26,4,1,2,0,0,0
32,1,214.75,8,17,4,2,0,0,6,1
82,1,121.55,4,16,4,2,2,0,3,0
19,2,93.0,2,19,4,3,2,0,0,1
171,0,92.82,8,4,4,3,2,3,0,0
172,0,72.25,7,26,3,5,1,0,0,1
84,0,89.75,4,29,3,2,1,0,0,1
36,0,112.0,10,13,3,3,0,1,0,1
71,0,84.15,4,23,4,3,2,3,0,0
209,1,81.9,12,8,4,3,0,0,0,1
27,2,96.9,12,8,4,3,1,0,3,1
0,0,80.0,2,19,2,1,0,0,0,1
23,0,95.0,10,15,0,1,2,0,0,0
0,0,69.74,6,12,4,0,2,3,0,1
12,0,79.2,5,25,3,1,0,3,0,1
77,1,135.15,5,12,4,3,1,0,0,1
95,0,126.9,5,7,4,1,0,0,0,0
240,1,105.3,8,24,4,3,0,0,0,0
16,0,70.72,12,22,4,3,2,0,0,1
50,2,114.0,11,13,4,1,2,0,3,1
10,0,76.59,12,2,4,7,3,0,0,1
43,1,88.5,2,26,4,2,1,0,0,1
58,1,83.3,3,21,4,3,1,3,0,0
0,0,0.0,8,3,1,0,1,0,0,1
56,3,103.5,10,21,4,3,0,0,0,1
43,1,110.2,12,4,4,1,2,0,3,1
18,0,87.0,2,21,3,2,2,0,0,1
30,2,146.1,7,15,4,4,2,0,0,1
135,2,151.2,10,6,4,2,0,0,3,1
271,1,101.33,9,21,4,3,0,0,0,0
290,0,106.0,12,12,2,2,1,0,4,1
59,2,104.0,11,24,4,3,0,0,0,1
151,0,122.76,10,30,4,3,2,0,3,0
1,0,65.0,4,1,2,1,0,0,0,1
128,1,94.5,8,3,4,3,0,3,0,1
5,1,98.0,8,13,4,3,0,0,0,0
54,0,112.2,4,10,4,3,2,0,3,0
32,0,70.0,10,30,3,2,1,0,3,1
129,1,76.3,7,4,4,5,2,0,0,1
0,1,89.0,2,27,4,1,0,0,0,1
37,1,69.5,2,4,4,3,1,3,0,1
8,1,100.0,6,23,4,1,0,0,0,1
4,0,65.0,10,18,2,1,2,0,0,1
92,1,49.07,11,26,3,3,0,0,0,1
123,0,139.24,10,21,4,5,2,0,3,1
58,1,105.0,4,3,3,1,2,0,0,1
85,0,66.6,1,22,3,2,0,0,3,1
46,1,80.3,1,22,4,2,0,0,0,1
18,0,114.0,6,26,4,0,2,3,0,0
190,0,67.09,8,25,4,3,1,3,0,0
109,1,103.5,7,7,4,2,0,3,0,1
144,0,80.75,6,29,4,4,1,0,0,0
107,1,108.0,10,21,4,2,1,3,0,1
338,0,80.0,10,7,4,2,1,0,0,0
2,0,99.0,4,21,2,1,0,0,3,0
53,1,107.1,10,29,4,1,1,0,0,0
11,1,140.0,4,24,4,0,2,0,0,1
184,1,139.5,8,17,4,1,0,1,0,0
88,1,132.3,10,2,4,0,2,0,3,0
12,0,138.0,8,30,3,1,0,0,4,1
152,2,110.65,8,5,4,2,1,0,0,0
209,1,72.75,7,2,4,4,2,0,3,1
71,1,126.0,5,10,3,3,0,1,0,1
37,2,94.18,11,25,4,4,1,0,0,1
87,1,152.1,8,1,4,6,3,0,3,1
69,1,114.9,6,21,4,3,0,3,0,1
29,3,166.25,10,5,4,2,0,0,3,1
219,0,92.65,10,6,4,3,1,3,0,0
49,2,74.8,11,13,4,3,2,3,0,1
148,3,118.8,10,4,4,3,0,0,0,1
103,0,126.0,12,6,4,1,0,0,3,0
41,0,76.5,8,28,3,1,2,0,0,1
157,0,107.29,7,16,4,4,2,1,0,0
122,0,116.1,6,9,4,3,0,3,0,0
0,1,95.0,11,6,4,1,0,0,0,1
113,0,55.63,3,29,4,4,0,3,0,1
146,1,81.25,8,5,3,1,0,0,0,1
3,1,67.0,9,12,2,2,1,0,0,1
11,0,94.6,9,13,4,2,2,0,0,1
2,0,104.79,6,29,4,2,0,3,3,1
0,0,65.0,4,13,2,1,0,0,0,1
50,0,98.55,10,19,3,2,0,0,0,1
35,2,137.7,4,18,4,1,1,0,3,1
8,0,55.0,3,1,3,3,0,0,0,1
8,1,102.0,1,27,4,1,0,0,0,1
3,1,121.0,8,7,4,0,1,0,0,1
53,1,183.5,10,15,4,1,1,0,3,1
3,2,94.0,8,13,4,4,2,0,0,1
56,1,120.38,9,3,4,2,2,0,3,1
195,0,99.95,8,3,4,4,0,0,0,0
73,1,76.5,4,3,4,1,2,3,0,1
109,0,150.3,8,19,4,2,0,0,3,0
69,1,68.72,10,4,4,0,1,0,0,1
160,1,208.13,6,25,4,5,2,0,5,0
12,2,87.78,7,19,4,2,0,3,0,1
45,1,67.5,2,24,4,3,0,3,0,0
54,1,88.0,11,4,4,2,0,3,0,1
60,1,126.9,5,21,4,1,1,0,0,1
10,2,83.55,2,13,4,1,1,0,0,1
31,0,168.63,10,19,4,1,0,0,5,0
1,1,180.0,1,13,4,4,0,0,5,1
53,0,159.3,5,27,4,2,1,0,3,0
0,0,65.0,5,23,2,0,1,0,0,1
27,0,152.67,6,26,4,1,2,0,3,0
42,0,62.8,3,25,3,2,1,3,0,1
205,1,92.01,8,20,4,6,2,0,0,1
119,1,170.1,11,10,4,1,0,3,0,1
269,1,70.0,12,29,3,3,2,0,0,1
58,0,99.45,4,11,4,3,1,0,0,1
78,1,154.29,12,29,3,3,1,0,0,1
94,0,76.5,4,16,4,2,2,3,0,0
65,0,105.9,4,26,4,3,0,0,0,0
119,1,88.73,8,13,4,2,2,0,0,1
142,1,68.8,8,22,4,5,2,3,0,1
7,1,143.0,8,26,4,2,2,0,0,1
36,1,55.09,12,10,4,2,0,3,0,1
35,1,70.03,2,25,4,3,0,3,0,1
1,1,109.0,3,16,4,1,0,0,0,1
98,0,50.33,2,25,3,4,2,0,0,1
145,2,190.8,8,17,4,2,0,0,5,1
2,0,109.0,8,3,3,4,0,0,0,1
63,2,106.88,9,3,4,2,2,0,0,1
206,1,130.5,9,8,4,3,0,0,1,0
4,1,177.0,7,27,4,3,0,0,3,1
140,2,103.42,5,28,4,4,2,0,3,1
0,0,106.0,12,28,4,0,1,0,0,1
4,0,93.8,12,2,4,2,2,0,0,1
84,0,159.3,8,28,4,1,2,0,3,0
11,0,160.0,5,24,3,3,0,1,0,1
5,0,80.0,12,18,3,2,2,0,0,1
96,1,0.0,8,2,1,3,0,0,0,1
85,0,162.3,4,7,4,3,0,0,5,0
33,1,85.5,9,14,4,1,1,0,0,1
55,2,139.5,10,20,4,3,0,0,3,1
122,2,151.2,10,12,4,4,1,0,3,1
16,3,116.75,9,9,4,4,0,0,0,1
18,1,101.25,8,31,4,3,1,0,0,0
16,0,89.22,4,8,4,3,2,0,3,1
15,0,80.0,1,26,2,2,0,0,0,1
294,0,58.5,9,21,3,4,0,1,0,1
203,1,105.3,8,10,4,3,0,0,0,0
46,1,149.4,9,11,4,3,2,0,3,0
82,1,79.2,12,9,4,2,0,3,0,1
3,0,120.0,6,10,3,2,0,0,0,1
4,3,306.0,7,8,4,2,1,0,6,1
78,2,60.0,3,3,3,3,1,0,0,1
97,1,80.75,4,25,4,3,1,3,0,1
244,0,80.7,12,30,4,2,1,3,0,0
86,2,104.4,10,26,4,2,0,0,3,1
5,2,90.0,8,10,4,4,1,0,0,1
151,1,137.13,7,5,4,5,1,0,3,0
126,1,80.75,6,26,4,4,2,3,0,1
64,0,80.1,10,25,4,2,0,3,0,1
51,1,120.7,4,26,4,5,0,0,3,1
35,0,38.67,3,9,3,3,0,0,0,1
102,1,159.3,5,21,4,1,0,0,3,1
49,1,75.95,3,8,4,4,0,0,0,1
180,1,98.1,10,10,4,0,1,3,0,0
94,2,65.45,11,23,4,2,1,0,3,1
5,0,103.0,3,8,4,2,0,0,0,1
72,3,105.3,4,14,4,3,0,0,0,1
13,2,125.0,11,14,4,2,1,0,0,1
254,1,100.3,9,29,4,3,1,0,0,0
47,1,94.5,10,13,4,4,0,0,0,1
96,0,93.96,10,26,4,2,0,0,3,0
125,1,99.45,7,23,4,2,2,0,0,1
132,1,113.4,10,8,4,3,2,0,0,0
49,0,160.65,6,22,4,2,0,1,0,0
147,2,103.7,7,1,4,2,2,0,3,1
0,0,106.4,6,27,3,0,1,0,0,1
91,0,90.95,6,3,3,2,1,0,3,0
32,1,88.0,12,16,4,2,0,3,0,1
283,1,111.3,10,23,4,1,2,0,3,0
11,1,87.4,9,13,4,0,1,3,0,1
18,0,166.0,7,8,4,2,1,0,3,0
14,1,92.17,10,19,4,3,1,0,0,1
260,0,73.95,12,26,4,3,1,0,0,0
13,0,89.0,6,14,4,1,0,3,0,1
127,3,90.0,11,2,4,4,1,0,0,1
59,0,81.0,1,28,3,2,0,0,0,1
129,0,114.3,8,6,4,4,2,0,0,0
41,0,58.5,12,27,3,5,1,0,0,1
99,3,127.71,12,26,4,3,1,0,3,1
5,0,65.0,9,2,2,2,0,0,0,1
82,1,134.1,8,7,4,1,2,0,0,0
61,1,88.0,11,11,4,2,1,3,0,1
308,0,71.91,12,29,4,3,2,3,0,0
105,0,97.12,3,20,4,4,2,0,3,1
75,0,168.3,8,13,4,1,2,0,3,0
277,4,60.29,11,13,4,1,2,0,0,1
20,1,97.0,12,18,4,0,2,3,0,1
0,3,126.0,9,19,4,2,2,0,0,1
185,1,90.95,7,5,4,4,0,0,0,0
3,0,90.0,9,9,2,2,0,0,0,1
0,1,151.0,7,12,4,1,0,0,0,1
2,3,194.0,9,22,4,1,0,0,0,1
177,0,100.0,6,3,4,2,0,0,0,0
35,0,111.83,8,28,4,2,2,0,0,0
80,0,72.25,7,24,3,2,2,0,0,1
153,1,115.2,6,4,4,1,2,0,0,0
51,1,123.3,8,28,4,3,2,0,3,0
1,2,130.0,2,7,4,0,2,0,3,1
178,0,100.3,6,4,4,3,2,0,0,0
247,0,96.3,8,11,4,2,0,0,0,0
110,0,90.95,4,20,4,2,0,0,3,1
21,1,88.0,11,28,4,0,1,3,0,0
17,2,107.09,12,2,4,3,2,0,3,1
0,0,117.04,10,29,4,1,1,0,0,1
73,1,107.95,4,7,4,3,1,0,3,1
21,0,119.0,6,23,4,1,0,0,0,0
0,2,80.0,8,6,4,1,0,0,0,1
19,2,104.0,11,25,4,1,0,0,0,1
76,1,58.76,10,22,4,3,1,3,0,1
91,0,109.98,10,24,4,4,1,0,3,1
93,1,68.0,12,10,3,1,1,0,0,1
73,0,159.3,4,3,4,1,2,0,5,0
203,0,58.14,8,3,4,4,0,3,0,0
40,0,88.5,3,1,4,3,0,0,3,0
77,0,68.85,3,16,4,4,1,3,0,1
94,0,134.1,8,5,4,2,1,0,0,0
5,1,136.0,6,11,4,1,0,0,3,1
156,0,112.2,8,20,4,2,2,0,3,0
101,0,70.03,4,18,4,3,1,0,3,0
180,2,51.28,11,13,4,0,1,3,0,1
85,0,186.3,6,30,4,1,0,0,5,0
98,0,71.4,9,21,3,3,1,0,0,0
106,1,96.3,3,24,4,3,0,0,0,0
68,0,164.88,11,2,4,4,1,0,1,0
247,1,90.95,10,25,4,4,0,0,0,0
71,0,87.13,4,22,4,2,2,3,0,0
95,2,89.25,9,18,4,2,1,0,0,1
212,1,90.95,8,8,4,3,1,0,0,1
38,0,90.2,3,23,4,2,0,3,0,1
53,1,91.48,3,6,4,0,1,0,3,1
70,2,109.8,12,25,4,1,2,0,0,1
5,1,0.0,5,9,1,0,1,0,0,1
14,0,58.0,12,14,3,4,1,0,0,1
57,0,80.3,3,4,4,2,0,0,0,1
18,0,79.0,3,25,3,2,0,3,0,1
48,1,72.36,10,19,3,3,1,0,1,1
41,1,140.0,11,18,4,2,0,0,3,1
60,1,62.18,10,9,4,2,0,0,0,1
67,2,88.4,11,23,4,4,0,0,0,0
1,2,137.0,8,17,4,1,0,3,0,1
74,1,85.5,4,25,4,2,1,0,0,1
2,0,156.0,5,5,4,1,0,0,3,1
103,0,85.0,9,28,3,1,0,3,0,0
6,0,85.0,5,9,3,2,1,3,0,1
169,2,121.5,8,3,4,3,0,0,0,0
180,2,100.08,10,28,3,2,1,1,0,0
133,1,120.0,6,19,4,1,2,0,0,1
5,0,67.0,8,30,2,3,0,0,0,1
34,1,103.89,8,27,4,5,2,3,0,1
51,0,106.2,4,1,4,2,1,0,3,1
60,2,123.3,9,1,4,3,0,0,3,1
3,2,113.46,5,29,4,4,2,0,0,1
53,2,158.4,10,16,4,2,2,0,3,1
12,4,0.0,8,17,1,1,0,0,0,1
130,0,105.3,7,17,4,1,2,0,0,1
29,0,84.65,2,5,4,2,0,0,0,1
1,1,0.0,11,12,1,1,0,0,0,1
22,0,71.2,1,25,4,15,5,3,0,1
199,1,95.4,5,2,4,3,1,3,0,0
51,0,85.5,3,16,2,1,0,0,0,1
42,2,142.2,8,30,4,4,0,0,3,1
2,0,89.0,3,30,4,1,0,3,0,1
28,2,99.87,10,12,4,2,1,0,0,1
97,0,73.07507156941769,8,21,3,3,1,0,0,0
104,0,125.32286774584537,11,5,4,1,0,0,1,0
157,0,75.17908101443008,7,21,4,3,2,0,0,0
72,1,73.35616482013498,6,18,4,3,2,3,0,0
29,0,132.14889838127215,8,9,4,2,0,2,0,0
179,0,89.71843444389712,8,2,4,3,0,2,0,0
276,0,93.72180045686936,9,20,3,3,0,0,0,0
191,0,118.41699842308515,7,25,3,3,1,0,2,0
253,0,93.20854640342625,8,29,4,3,0,0,0,0
56,0,84.17380598073042,3,19,4,1,1,3,0,0
205,0,104.27257172693025,7,4,4,2,0,0,0,0
96,0,132.54751740429245,8,26,4,1,0,0,3,0
104,1,74.2613975130142,12,4,4,1,1,0,0,0
16,0,111.10970829344369,5,28,4,0,1,0,0,0
176,0,102.75866243132685,8,14,4,2,0,2,0,0
191,1,166.6790349969329,10,28,4,1,0,0,5,0
98,0,71.79385075851722,8,21,3,3,1,0,0,0
12,0,152.92966007279813,8,3,4,1,0,0,1,0
29,0,97.4992221616878,5,23,3,2,0,2,0,0
48,0,134.58375131304467,7,4,4,1,0,0,0,0
58,0,139.71851157914062,9,19,4,2,0,0,3,0
150,0,171.98329294660493,7,5,4,3,1,0,1,0
118,0,122.63162477932138,7,26,4,2,0,0,0,0
91,0,149.4,9,8,4,2,1,0,3,0
299,1,115.70110861526172,7,26,4,2,0,1,0,0
180,0,185.2960096467859,7,14,4,4,0,0,3,0
113,0,129.6788631136002,9,14,4,3,0,0,0,0
59,0,126.11949587783104,10,6,4,2,0,0,3,0
26,0,75.59153491085974,1,27,4,2,0,0,0,0
147,0,138.2179293297344,7,14,4,4,1,0,3,0
26,0,138.11631037699055,6,26,4,1,1,0,0,0
216,0,95.42889906515967,7,17,4,1,0,0,0,0
189,1,109.2660086047221,8,21,4,3,1,0,0,0
4,0,96.74648124020196,11,7,0,1,0,0,3,0
93,0,128.86222561239958,6,13,4,3,0,2,0,0
109,0,94.36442663222888,7,24,4,1,1,0,0,0
116,0,63.823104439319046,2,26,3,1,2,0,0,0
179,1,128.18874393386994,8,2,4,5,2,0,2,0
154,0,114.01578705374324,8,6,4,2,0,0,0,0
43,0,62.3983390401453,3,10,2,0,1,0,0,0
228,0,104.4937511616269,7,27,4,4,1,0,1,0
8,0,127.0,2,4,4,2,0,0,2,0
76,1,132.57928534218806,10,6,4,3,0,0,2,0
121,0,110.16577068377512,4,28,4,1,0,0,0,0
179,0,89.99231775313834,8,24,4,3,0,0,0,0
180,0,120.0,10,10,3,2,0,0,0,0
131,0,106.49342024950556,4,6,4,2,0,0,0,0
11,0,150.56248240920053,10,5,4,1,0,0,0,0
193,0,106.5449223232803,4,29,3,1,1,0,0,0
117,0,96.90448213817822,5,26,4,3,0,0,0,0
8,0,157.8719055657068,3,21,4,6,1,0,3,0
188,0,115.40158645368403,8,29,4,2,0,0,0,0
19,1,96.78776296373,11,13,4,2,2,0,2,0
43,0,68.75119565403423,3,8,4,4,1,0,0,0
157,0,99.7943437349688,7,6,4,3,0,3,0,0
418,0,76.33389308239981,9,26,3,2,1,0,0,0
157,0,135.08876447125692,9,5,3,1,0,0,1,0
154,0,87.40867045541555,7,28,4,0,1,2,0,0
211,0,100.04759806940751,5,19,4,2,0,0,0,0
54,0,94.11086111327414,8,20,4,2,0,1,0,0
175,0,102.40985340280788,7,5,4,1,2,1,0,0
219,0,70.07406715519373,9,25,4,4,1,0,0,0
283,1,111.84843512199807,9,22,3,1,1,0,2,0
194,0,86.73507890466838,7,14,4,1,0,0,1,0
108,0,76.17574427948604,4,8,3,1,1,2,0,0
113,0,120.19866612602765,8,6,3,1,1,0,0,0
283,1,100.43674500787085,9,24,3,2,0,0,0,0
107,0,108.937665152058,10,12,4,1,0,2,0,0
53,0,79.34046965307353,10,11,4,2,0,2,0,0
243,0,80.02367811273608,8,19,4,2,1,0,0,0
44,0,134.27387679190159,5,27,4,2,0,0,0,0
31,0,75.0,9,16,3,2,1,0,0,0
206,1,127.43853136409435,6,8,4,4,1,0,2,0
59,0,124.16835633230505,11,6,4,2,0,0,2,0
249,0,90.82707336391981,8,26,4,2,1,0,0,0
18,1,79.0,2,24,4,3,0,3,0,0
256,0,113.27805731123406,7,15,3,1,0,0,0,0
223,0,168.37798512555574,9,18,3,1,1,0,0,0
15,0,78.3405958655585,2,1,4,5,1,1,0,0
159,0,144.0,9,19,3,2,1,0,0,0
204,0,101.23115126145584,5,4,3,2,0,0,0,0
154,0,107.70578482630262,6,17,4,3,2,0,0,0
163,0,100.05991846809944,9,1,3,1,0,0,0,0
36,0,126.0,9,1,4,0,0,0,0,0
175,0,124.75276144593829,8,8,3,2,0,0,0,0
148,1,138.02396796282775,7,6,4,3,1,0,3,0
153,1,145.94974090823493,8,14,3,1,1,0,2,0
8,1,129.75066944723912,8,20,4,1,0,0,0,0
76,0,140.4,5,24,4,1,0,0,3,0
85,1,137.5449795643334,9,10,4,2,0,0,1,0
183,0,95.57027528778875,8,12,4,1,0,3,0,0
58,0,164.59622789326096,7,4,4,0,1,0,0,0
172,1,168.29788078577656,11,8,4,3,1,0,2,0
19,0,130.2447012772384,6,27,4,1,1,1,1,0
194,0,137.5764730609412,7,5,4,1,1,0,0,0
127,0,100.07456337047314,6,26,4,3,0,0,0,0
18,0,88.0,11,26,4,1,0,3,0,0
8,0,155.22295825762018,9,27,4,1,1,0,3,0
152,0,80.65571550312075,6,26,4,4,2,0,0,0
118,0,123.1504036585673,6,27,4,3,0,0,0,0
159,0,143.49669735472662,8,19,3,2,1,0,0,0
234,0,105.16928194510048,8,9,4,3,1,0,0,0
100,0,78.12555849625934,3,18,4,2,1,0,0,0
